Orthogroup	Junonia_coenia	Danaus_plexippus
OG0000032	JC_08098-RA, JC_15112-RA	DPOGS200472-PA
OG0000034	JC_02761-RA	DPOGS205641-PA
OG0000034	JC_02760-RA	DPOGS205643-PA
OG0000034	JC_02341-RA, JC_02342-RA	DPOGS202647-PA
OG0000034	JC_02354-RA	DPOGS202676-PA
OG0000034	JC_02348-RA, JC_02347-RA	DPOGS202644-PA
OG0000036	JC_14663-RA	DPOGS213885-PA
OG0000038	JC_14166-RA, JC_14541-RA, JC_14553-RA, JC_14548-RA, JC_14549-RA, JC_14551-RA, JC_14552-RA, JC_14545-RA, JC_14555-RA, JC_14547-RA, JC_14566-RA, JC_14167-RA, JC_16829-RA, JC_14539-RA, JC_14546-RA	DPOGS214966-PA
OG0000039	JC_12152-RA, JC_12153-RA, JC_11811-RA, JC_11810-RA, JC_16602-RA, JC_16604-RA, JC_16600-RA, JC_12154-RA	DPOGS201794-PA, DPOGS201792-PA
OG0000040	JC_11683-RA, JC_07552-RA, JC_00269-RA	DPOGS211359-PA
OG0000041	JC_09842-RA	DPOGS210496-PA
OG0000044	JC_06620-RA	DPOGS216008-PA
OG0000045	JC_06642-RA	DPOGS210702-PA, DPOGS210700-PA
OG0000045	JC_16748-RA	DPOGS210663-PA
OG0000045	JC_09127-RA	DPOGS210250-PA
OG0000045	JC_04431-RA	DPOGS210048-PA
OG0000045	JC_15568-RA, JC_15572-RA	DPOGS213925-PA, DPOGS213901-PA
OG0000046	JC_05584-RA	DPOGS209145-PA
OG0000046	JC_05581-RA	DPOGS209144-PA
OG0000048	JC_00039-RA, JC_04995-RA, JC_03035-RA, JC_11358-RA, JC_03645-RA, JC_15660-RA, JC_11945-RA, JC_15167-RA, JC_14135-RA, JC_15415-RA, JC_04809-RA, JC_17159-RA, JC_08103-RA, JC_16142-RA, JC_09989-RA, JC_10760-RA, JC_15165-RA	DPOGS215280-PA
OG0000048	JC_00792-RA	DPOGS206656-PA
OG0000048	JC_03644-RA, JC_03036-RA	DPOGS212307-PA
OG0000049	JC_09715-RA, JC_09711-RA, JC_09713-RA, JC_09712-RA, JC_11551-RA, JC_09714-RA, JC_11552-RA, JC_09676-RA, JC_09672-RA, JC_09677-RA, JC_09710-RA, JC_09669-RA, JC_09668-RA, JC_09718-RA, JC_09673-RA, JC_09671-RA	DPOGS201061-PA
OG0000050	JC_10512-RA	DPOGS205331-PA, DPOGS203946-PA, DPOGS205332-PA, DPOGS205309-PA, DPOGS201636-PA, DPOGS205306-PA, DPOGS205308-PA
OG0000052	JC_02452-RA, JC_06730-RA, JC_06719-RA, JC_06718-RA, JC_06725-RA, JC_06724-RA, JC_06732-RA, JC_06720-RA, JC_02453-RA, JC_14889-RA, JC_14887-RA, JC_14890-RA, JC_06717-RA, JC_15392-RA, JC_01097-RA, JC_06731-RA, JC_06738-RA, JC_06735-RA, JC_06726-RA, JC_06740-RA, JC_06728-RA, JC_06746-RA, JC_06748-RA, JC_06729-RA, JC_06739-RA, JC_06727-RA, JC_06750-RA, JC_06749-RA, JC_06747-RA, JC_07968-RA, JC_06737-RA, JC_06673-RA, JC_06672-RA, JC_06744-RA, JC_06741-RA, JC_06743-RA, JC_06722-RA, JC_06734-RA, JC_06721-RA, JC_06733-RA, JC_06723-RA, JC_06751-RA	DPOGS210331-PA
OG0000053	JC_00967-RA	DPOGS201540-PA
OG0000053	JC_00970-RA	DPOGS201420-PA
OG0000053	JC_00969-RA	DPOGS201419-PA
OG0000053	JC_00971-RA	DPOGS201422-PA
OG0000053	JC_00972-RA	DPOGS201423-PA
OG0000054	JC_07335-RA	DPOGS201193-PA
OG0000054	JC_07330-RA	DPOGS201191-PA, DPOGS201192-PA, DPOGS201177-PA
OG0000054	JC_07332-RA, JC_07331-RA	DPOGS201176-PA, DPOGS201175-PA
OG0000055	JC_03957-RA	DPOGS208420-PA
OG0000055	JC_14448-RA, JC_14447-RA, JC_15093-RA, JC_16371-RA, JC_14459-RA, JC_13831-RA, JC_16820-RA, JC_04975-RA	DPOGS213967-PA
OG0000056	JC_14900-RA	DPOGS206182-PA
OG0000057	JC_10436-RA, JC_10435-RA, JC_10433-RA, JC_10431-RA, JC_10432-RA	DPOGS209909-PA
OG0000057	JC_10437-RA	DPOGS209884-PA
OG0000057	JC_04526-RA, JC_04525-RA	DPOGS209997-PA
OG0000057	JC_10434-RA	DPOGS209996-PA, DPOGS209998-PA
OG0000058	JC_15097-RA	DPOGS212355-PA
OG0000060	JC_05725-RA, JC_05737-RA, JC_05736-RA	DPOGS208010-PA, DPOGS208061-PA
OG0000060	JC_05726-RA, JC_05727-RA, JC_05729-RA, JC_05730-RA, JC_05734-RA, JC_05732-RA, JC_05731-RA, JC_05728-RA, JC_05735-RA, JC_05733-RA	DPOGS200035-PA, DPOGS208060-PA
OG0000061	JC_03626-RA, JC_03622-RA, JC_03625-RA, JC_03624-RA, JC_03621-RA, JC_03619-RA, JC_03623-RA, JC_03620-RA	DPOGS201160-PA
OG0000062	JC_05075-RA	DPOGS202468-PA, DPOGS202469-PA
OG0000062	JC_17016-RA, JC_17018-RA, JC_17015-RA	DPOGS207201-PA
