Orthogroup	Junonia_coenia	Danaus_plexippus
OG0005048	JC_02380-RA	DPOGS204777-PA
OG0005049	JC_14591-RA	DPOGS213345-PA
OG0005050	JC_15208-RA	DPOGS205129-PA
OG0005052	JC_14590-RA	DPOGS213390-PA
OG0005053	JC_13019-RA	DPOGS207348-PA
OG0005054	JC_13018-RA	DPOGS207331-PA
OG0005055	JC_08658-RA	DPOGS201265-PA
OG0005056	JC_03648-RA	DPOGS209613-PA
OG0005057	JC_10491-RA	DPOGS213215-PA
OG0005058	JC_04255-RA	DPOGS200149-PA
OG0005059	JC_00715-RA	DPOGS208796-PA
OG0005060	JC_14070-RA	DPOGS216121-PA
OG0005061	JC_07304-RA	DPOGS201200-PA
OG0005062	JC_04452-RA	DPOGS210057-PA
OG0005063	JC_02372-RA	DPOGS204749-PA
OG0005064	JC_10274-RA	DPOGS211788-PA
OG0005065	JC_15037-RA	DPOGS208211-PA
OG0005066	JC_13015-RA	DPOGS207330-PA
OG0005067	JC_15206-RA	DPOGS205131-PA
OG0005068	JC_15204-RA	DPOGS205148-PA
OG0005069	JC_13013-RA	DPOGS207351-PA
OG0005070	JC_10276-RA	DPOGS211769-PA
OG0005071	JC_06752-RA	DPOGS210370-PA
OG0005072	JC_03656-RA	DPOGS209602-PA
OG0005073	JC_06754-RA	DPOGS210329-PA
OG0005074	JC_11502-RA	DPOGS208003-PA
OG0005075	JC_10278-RA	DPOGS211791-PA
OG0005077	JC_03557-RA	DPOGS210848-PA
OG0005078	JC_15202-RA	DPOGS211811-PA
OG0005079	JC_07284-RA	DPOGS201205-PA
OG0005080	JC_02368-RA	DPOGS204774-PA
OG0005081	JC_07942-RA	DPOGS210935-PA
OG0005082	JC_10217-RA, JC_14309-RA, JC_12245-RA, JC_16340-RA, JC_14810-RA, JC_12995-RA	DPOGS209343-PA
OG0005083	JC_14095-RA	DPOGS200398-PA
OG0005084	JC_07943-RA	DPOGS210890-PA
OG0005085	JC_16710-RA	DPOGS209119-PA, DPOGS211756-PA
OG0005086	JC_10280-RA	DPOGS211793-PA
OG0005087	JC_10281-RA	DPOGS211766-PA
OG0005088	JC_10495-RA	DPOGS213219-PA
OG0005089	JC_15543-RA	DPOGS200067-PA
OG0005090	JC_03558-RA	DPOGS210823-PA
OG0005091	JC_10494-RA	DPOGS213166-PA
OG0005092	JC_10496-RA	DPOGS213220-PA
OG0005093	JC_03559-RA	DPOGS210847-PA
OG0005094	JC_13007-RA	DPOGS207359-PA
OG0005095	JC_15542-RA	DPOGS200116-PA
OG0005097	JC_06757-RA	DPOGS210372-PA
OG0005098	JC_06758-RA	DPOGS210327-PA
OG0005099	JC_03657-RA	DPOGS209614-PA
OG0005100	JC_10497-RA	DPOGS213165-PA
OG0005101	JC_10498-RA	DPOGS213221-PA
OG0005102	JC_10285-RA	DPOGS211795-PA
OG0005103	JC_05659-RA	DPOGS202141-PA
OG0005104	JC_06759-RA	DPOGS210373-PA
OG0005105	JC_01595-RA, JC_17233-RA	DPOGS202964-PA
OG0005106	JC_10501-RA, JC_10500-RA	DPOGS213222-PA
OG0005107	JC_13003-RA	DPOGS207360-PA
OG0005108	JC_16199-RA	DPOGS214415-PA
OG0005109	JC_06766-RA	DPOGS210374-PA
OG0005110	JC_01655-RA	DPOGS203367-PA
OG0005111	JC_16200-RA	DPOGS214399-PA
OG0005112	JC_10503-RA	DPOGS213223-PA
OG0005113	JC_13002-RA	DPOGS207323-PA
OG0005114	JC_16202-RA	DPOGS214400-PA
OG0005115	JC_13000-RA	DPOGS207322-PA
OG0005116	JC_10505-RA	DPOGS215430-PA
OG0005117	JC_05542-RA	DPOGS215571-PA
OG0005118	JC_05537-RA	DPOGS215582-PA
OG0005119	JC_07951-RA	DPOGS210933-PA
OG0005120	JC_05536-RA	DPOGS215570-PA
OG0005121	JC_07952-RA	DPOGS210892-PA
OG0005122	JC_05535-RA	DPOGS203224-PA
OG0005123	JC_09751-RA	DPOGS205108-PA
OG0005124	JC_15189-RA	DPOGS211825-PA
OG0005125	JC_12997-RA	DPOGS207363-PA
OG0005126	JC_14572-RA	DPOGS213402-PA
OG0005127	JC_14570-RA	DPOGS213337-PA
OG0005128	JC_16718-RA	DPOGS210648-PA
OG0005129	JC_07956-RA	DPOGS210894-PA
OG0005130	JC_01592-RA	DPOGS206381-PA
OG0005131	JC_05533-RA	DPOGS203142-PA
OG0005132	JC_04460-RA	DPOGS210062-PA
OG0005133	JC_03563-RA	DPOGS210826-PA
OG0005134	JC_17092-RA	DPOGS214993-PA
OG0005136	JC_04461-RA	DPOGS210063-PA
OG0005137	JC_07359-RA	DPOGS206299-PA
OG0005138	JC_07360-RA	DPOGS206359-PA
OG0005139	JC_05532-RA	DPOGS214533-PA
OG0005140	JC_17094-RA	DPOGS215006-PA
OG0005141	JC_09752-RA	DPOGS205109-PA
OG0005142	JC_07959-RA	DPOGS210930-PA
OG0005143	JC_05531-RA	DPOGS214523-PA
OG0005144	JC_09753-RA	DPOGS205117-PA
OG0005145	JC_07960-RA	DPOGS210895-PA
OG0005146	JC_10289-RA	DPOGS211798-PA
OG0005147	JC_03661-RA	DPOGS209599-PA
OG0005148	JC_00733-RA	DPOGS208788-PA
OG0005149	JC_07362-RA	DPOGS206358-PA
OG0005150	JC_03663-RA	DPOGS209617-PA
OG0005151	JC_07962-RA	DPOGS210896-PA
OG0005152	JC_07363-RA	DPOGS206301-PA
OG0005153	JC_09756-RA	DPOGS205111-PA
OG0005154	JC_11522-RA	DPOGS204723-PA
OG0005155	JC_12795-RA	DPOGS214749-PA
OG0005156	JC_02278-RA	DPOGS207150-PA
OG0005157	JC_01588-RA	DPOGS206388-PA
OG0005158	JC_12793-RA	DPOGS214748-PA
OG0005159	JC_03668-RA	DPOGS209618-PA
OG0005160	JC_01586-RA	DPOGS206377-PA
OG0005161	JC_11526-RA	DPOGS204712-PA
OG0005162	JC_09762-RA	DPOGS205115-PA
OG0005163	JC_02280-RA	DPOGS207169-PA
OG0005164	JC_02362-RA	DPOGS202637-PA
OG0005165	JC_09761-RA	DPOGS205113-PA
OG0005166	JC_07964-RA	DPOGS210897-PA
OG0005167	JC_03669-RA	DPOGS209596-PA
OG0005168	JC_02360-RA	DPOGS202679-PA
OG0005169	JC_00736-RA	DPOGS208829-PA
OG0005170	JC_02358-RA	DPOGS202638-PA
OG0005171	JC_16729-RA	DPOGS210654-PA
OG0005172	JC_00739-RA	DPOGS208786-PA
OG0005174	JC_12786-RA	DPOGS214713-PA
OG0005176	JC_01584-RA	DPOGS206392-PA
OG0005177	JC_15180-RA, JC_15179-RA	DPOGS211824-PA
OG0005178	JC_14096-RA	DPOGS200394-PA
OG0005179	JC_12784-RA	DPOGS214742-PA
OG0005180	JC_06774-RA	DPOGS210378-PA
OG0005181	JC_08651-RA	DPOGS211481-PA
OG0005182	JC_09768-RA	DPOGS205924-PA
OG0005184	JC_09770-RA	DPOGS205959-PA
OG0005185	JC_02286-RA	DPOGS207154-PA
OG0005186	JC_15517-RA	DPOGS200074-PA
OG0005188	JC_06075-RA	DPOGS210562-PA
OG0005190	JC_15025-RA	DPOGS203088-PA
OG0005191	JC_16161-RA	DPOGS202686-PA
OG0005192	JC_09775-RA	DPOGS204371-PA
OG0005193	JC_11543-RA	DPOGS212182-PA, DPOGS213985-PA
OG0005194	JC_06780-RA	DPOGS210320-PA
OG0005195	JC_10524-RA	DPOGS205314-PA
OG0005196	JC_11544-RA	DPOGS213980-PA
OG0005197	JC_01574-RA	DPOGS206371-PA
OG0005198	JC_16162-RA	DPOGS201957-PA
OG0005199	JC_06783-RA	DPOGS210318-PA
OG0005200	JC_10296-RA	DPOGS214303-PA
OG0005201	JC_06784-RA	DPOGS210383-PA
OG0005202	JC_10526-RA	DPOGS205315-PA
OG0005203	JC_00752-RA	DPOGS208781-PA
OG0005204	JC_00753-RA	DPOGS208837-PA
OG0005205	JC_12431-RA	DPOGS211237-PA
OG0005207	JC_06083-RA	DPOGS210558-PA
OG0005208	JC_17107-RA	DPOGS215025-PA
OG0005209	JC_03680-RA	DPOGS209621-PA
OG0005210	JC_06786-RA	DPOGS210317-PA
OG0005211	JC_01572-RA	DPOGS206370-PA
OG0005212	JC_01570-RA	DPOGS206401-PA
OG0005213	JC_11549-RA	DPOGS213978-PA
OG0005214	JC_16738-RA	DPOGS210643-PA
OG0005215	JC_01568-RA	DPOGS206369-PA
OG0005216	JC_00756-RA	DPOGS208840-PA
OG0005217	JC_17111-RA	DPOGS214979-PA
OG0005218	JC_17112-RA	DPOGS214978-PA
OG0005219	JC_03681-RA	DPOGS209622-PA
OG0005220	JC_06791-RA, JC_06792-RA	DPOGS210316-PA
OG0005221	JC_06087-RA	DPOGS210555-PA
OG0005222	JC_03570-RA	DPOGS210831-PA
OG0005223	JC_10303-RA	DPOGS214308-PA
OG0005224	JC_14562-RA	DPOGS210176-PA
OG0005225	JC_04469-RA	DPOGS210065-PA
OG0005226	JC_02351-RA	DPOGS202643-PA
OG0005227	JC_06088-RA	DPOGS210553-PA
OG0005228	JC_02349-RA	DPOGS202674-PA
OG0005229	JC_04470-RA	DPOGS210066-PA
OG0005230	JC_11447-RA	DPOGS205460-PA
OG0005231	JC_06794-RA	DPOGS210386-PA
OG0005232	JC_02284-RA	DPOGS207151-PA
OG0005233	JC_11445-RA	DPOGS205482-PA, DPOGS205481-PA
OG0005234	JC_04474-RA	DPOGS210093-PA
OG0005235	JC_10545-RA	DPOGS209505-PA
OG0005236	JC_08679-RA	DPOGS209786-PA
OG0005237	JC_08680-RA	DPOGS209845-PA
OG0005238	JC_04475-RA	DPOGS210068-PA
OG0005239	JC_12421-RA	DPOGS204155-PA
OG0005240	JC_10546-RA	DPOGS209506-PA
OG0005241	JC_04477-RA	DPOGS210069-PA
OG0005242	JC_16586-RA	DPOGS204598-PA
OG0005243	JC_00762-RA	DPOGS208775-PA
OG0005244	JC_00764-RA	DPOGS208774-PA
OG0005245	JC_04479-RA	DPOGS210070-PA
OG0005246	JC_12420-RA	DPOGS204204-PA
OG0005247	JC_05523-RA	DPOGS214536-PA
OG0005248	JC_04480-RA	DPOGS210091-PA
OG0005249	JC_05522-RA	DPOGS214516-PA
OG0005250	JC_04485-RA	DPOGS210071-PA
OG0005251	JC_16249-RA	DPOGS208137-PA
OG0005252	JC_03602-RA	DPOGS201129-PA
OG0005253	JC_00770-RA	DPOGS208773-PA
OG0005254	JC_16580-RA	DPOGS204606-PA
OG0005255	JC_07844-RA	DPOGS208845-PA
OG0005256	JC_08683-RA	DPOGS209843-PA
OG0005257	JC_15588-RA	DPOGS213636-PA
OG0005258	JC_03606-RA	DPOGS201164-PA
OG0005261	JC_05520-RA	DPOGS214515-PA
OG0005262	JC_05519-RA	DPOGS214538-PA
OG0005263	JC_02340-RA	DPOGS202671-PA
OG0005264	JC_00772-RA	DPOGS208770-PA
OG0005265	JC_02338-RA	DPOGS202670-PA
OG0005266	JC_16252-RA	DPOGS206090-PA
OG0005267	JC_00773-RA	DPOGS208846-PA
OG0005268	JC_03610-RA	DPOGS201131-PA
OG0005269	JC_11432-RA	DPOGS205487-PA
OG0005270	JC_00775-RA	DPOGS216139-PA
OG0005271	JC_15988-RA, JC_15989-RA	DPOGS209126-PA, DPOGS209127-PA
OG0005272	JC_00697-RA	DPOGS213051-PA, DPOGS213052-PA
OG0005273	JC_10311-RA	DPOGS214382-PA
OG0005274	JC_10312-RA	DPOGS214313-PA
OG0005275	JC_08692-RA	DPOGS209791-PA
OG0005276	JC_11428-RA	DPOGS205488-PA
OG0005277	JC_16567-RA	DPOGS211264-PA
OG0005278	JC_07371-RA	DPOGS206308-PA
OG0005279	JC_15589-RA	DPOGS213638-PA
OG0005280	JC_14885-RA	DPOGS215545-PA
OG0005281	JC_11426-RA	DPOGS205490-PA
OG0005282	JC_02270-RA	DPOGS206789-PA
OG0005283	JC_04489-RA	DPOGS210073-PA
OG0005284	JC_04263-RA	DPOGS212452-PA
OG0005285	JC_10319-RA	DPOGS214376-PA
OG0005286	JC_07372-RA	DPOGS206355-PA
OG0005287	JC_05645-RA	DPOGS206256-PA
OG0005288	JC_16262-RA	DPOGS205122-PA
OG0005289	JC_05515-RA	DPOGS209236-PA
OG0005291	JC_15590-RA	DPOGS213639-PA
OG0005292	JC_05513-RA	DPOGS203276-PA
OG0005293	JC_14532-RA	DPOGS210179-PA
OG0005294	JC_03692-RA	DPOGS209625-PA
OG0005295	JC_08694-RA	DPOGS209792-PA
OG0005296	JC_01558-RA	DPOGS215705-PA
OG0005297	JC_07378-RA	DPOGS206312-PA
OG0005298	JC_00788-RA	DPOGS215317-PA
OG0005299	JC_11422-RA	DPOGS205453-PA
OG0005300	JC_01556-RA	DPOGS215704-PA
OG0005301	JC_17207-RA	DPOGS209793-PA
OG0005302	JC_07379-RA	DPOGS206353-PA
OG0005303	JC_05509-RA	DPOGS203278-PA
OG0005304	JC_05508-RA	DPOGS203279-PA
OG0005305	JC_16630-RA	DPOGS200789-PA
OG0005306	JC_11421-RA	DPOGS205452-PA
OG0005307	JC_05507-RA	DPOGS203416-PA
OG0005308	JC_05514-RA	DPOGS209235-PA
OG0005309	JC_16776-RA	DPOGS200501-PA
OG0005310	JC_11420-RA	DPOGS205492-PA
OG0005311	JC_16778-RA	DPOGS213284-PA
OG0005312	JC_12968-RA	DPOGS215164-PA
OG0005313	JC_11418-RA	DPOGS202565-PA, DPOGS202566-PA
OG0005314	JC_11417-RA	DPOGS202564-PA
OG0005315	JC_06819-RA	DPOGS212938-PA
OG0005316	JC_14114-RA	DPOGS211547-PA
OG0005317	JC_02275-RA	DPOGS206803-PA
OG0005318	JC_16001-RA	DPOGS214559-PA
OG0005319	JC_01550-RA	DPOGS215702-PA
OG0005320	JC_03698-RA	DPOGS209584-PA
OG0005321	JC_10567-RA	DPOGS209515-PA
OG0005322	JC_03699-RA	DPOGS209631-PA
OG0005323	JC_14876-RA	DPOGS215541-PA
OG0005324	JC_03701-RA	DPOGS209632-PA
OG0005325	JC_10326-RA	DPOGS214323-PA
OG0005326	JC_02273-RA	DPOGS206804-PA
OG0005327	JC_14873-RA	DPOGS215540-PA
OG0005328	JC_00791-RA	DPOGS215314-PA
OG0005329	JC_05502-RA	DPOGS200968-PA, DPOGS200967-PA
OG0005330	JC_05501-RA	DPOGS200973-PA
OG0005331	JC_11408-RA	DPOGS202723-PA
OG0005332	JC_05500-RA	DPOGS200969-PA
OG0005333	JC_03706-RA	DPOGS209636-PA
OG0005334	JC_11407-RA	DPOGS202705-PA
OG0005335	JC_10333-RA	DPOGS214363-PA
OG0005336	JC_10334-RA	DPOGS214364-PA
OG0005337	JC_10335-RA	DPOGS214365-PA
OG0005338	JC_07402-RA	DPOGS206349-PA
OG0005339	JC_06134-RA	DPOGS204453-PA
OG0005340	JC_07403-RA	DPOGS206318-PA
OG0005341	JC_14119-RA	DPOGS211549-PA
OG0005342	JC_14120-RA	DPOGS211545-PA
OG0005343	JC_16779-RA	DPOGS213287-PA
OG0005344	JC_06128-RA	DPOGS204451-PA
OG0005345	JC_10253-RA	DPOGS210163-PA
OG0005346	JC_14122-RA	DPOGS211544-PA
OG0005347	JC_16272-RA	DPOGS203108-PA
OG0005348	JC_16273-RA	DPOGS203091-PA, DPOGS203092-PA
OG0005349	JC_16275-RA	DPOGS203109-PA
OG0005350	JC_06820-RA	DPOGS212967-PA
OG0005351	JC_16782-RA	DPOGS213282-PA
OG0005352	JC_16012-RA	DPOGS214562-PA
OG0005353	JC_06821-RA	DPOGS212937-PA
OG0005354	JC_16783-RA	DPOGS213288-PA, DPOGS213289-PA
OG0005355	JC_10576-RA	DPOGS209520-PA
OG0005356	JC_00800-RA	DPOGS215308-PA
OG0005357	JC_10248-RA	DPOGS208342-PA
OG0005358	JC_10577-RA	DPOGS209521-PA
OG0005359	JC_10247-RA	DPOGS208327-PA
OG0005360	JC_07405-RA	DPOGS206319-PA
OG0005361	JC_14128-RA	DPOGS202550-PA
OG0005362	JC_16740-RA, JC_16743-RA	DPOGS210642-PA
OG0005363	JC_15624-RA	DPOGS216205-PA
OG0005364	JC_10246-RA	DPOGS208340-PA
OG0005365	JC_16279-RA	DPOGS211696-PA
OG0005366	JC_10245-RA	DPOGS208328-PA
OG0005367	JC_16015-RA	DPOGS214563-PA
OG0005368	JC_14516-RA	DPOGS216168-PA
OG0005369	JC_11399-RA, JC_11398-RA	DPOGS200228-PA
OG0005370	JC_02330-RA	DPOGS202651-PA
OG0005371	JC_04508-RA	DPOGS210083-PA
OG0005373	JC_05497-RA	DPOGS200970-PA
OG0005374	JC_06122-RA	DPOGS204450-PA
OG0005375	JC_01537-RA	DPOGS215699-PA
OG0005376	JC_14868-RA	DPOGS215538-PA
OG0005377	JC_15591-RA	DPOGS213649-PA
OG0005378	JC_07412-RA	DPOGS206320-PA
OG0005379	JC_10581-RA	DPOGS209485-PA
OG0005380	JC_02302-RA	DPOGS207165-PA
OG0005381	JC_10582-RA	DPOGS209484-PA
OG0005382	JC_16643-RA	DPOGS208103-PA
OG0005383	JC_14512-RA	DPOGS216171-PA
OG0005384	JC_07972-RA	DPOGS210922-PA
OG0005385	JC_14511-RA	DPOGS216164-PA
OG0005386	JC_02300-RA	DPOGS206800-PA
OG0005387	JC_01530-RA	DPOGS215697-PA
OG0005388	JC_09781-RA	DPOGS204358-PA
OG0005389	JC_11340-RA	DPOGS208095-PA
OG0005390	JC_12410-RA	DPOGS211300-PA
OG0005392	JC_14510-RA	DPOGS216162-PA
OG0005393	JC_02327-RA	DPOGS202654-PA
OG0005394	JC_08714-RA	DPOGS209799-PA
OG0005395	JC_14509-RA	DPOGS216172-PA
OG0005396	JC_16020-RA	DPOGS214543-PA
OG0005397	JC_14139-RA	DPOGS213317-PA
OG0005398	JC_05494-RA	DPOGS205303-PA
OG0005399	JC_07979-RA	DPOGS210904-PA
OG0005400	JC_15594-RA	DPOGS213643-PA
OG0005401	JC_05493-RA	DPOGS205262-PA
OG0005402	JC_16286-RA	DPOGS202968-PA
OG0005403	JC_07982-RA	DPOGS210919-PA
OG0005404	JC_15595-RA	DPOGS213644-PA
OG0005405	JC_02325-RA	DPOGS202664-PA
OG0005406	JC_01528-RA	DPOGS215727-PA
OG0005407	JC_05634-RA	DPOGS203112-PA
OG0005408	JC_02324-RA	DPOGS202656-PA
OG0005409	JC_05487-RA	DPOGS205264-PA
OG0005410	JC_16023-RA	DPOGS212900-PA
OG0005411	JC_02323-RA	DPOGS202663-PA
OG0005412	JC_02320-RA	DPOGS202657-PA
OG0005413	JC_07985-RA	DPOGS210906-PA
OG0005415	JC_16025-RA	DPOGS212896-PA
OG0005416	JC_07419-RA	DPOGS206340-PA
OG0005417	JC_07420-RA	DPOGS206322-PA
OG0005418	JC_10221-RA	DPOGS208415-PA, DPOGS208414-PA
OG0005419	JC_15597-RA	DPOGS213646-PA
OG0005420	JC_16633-RA	DPOGS200784-PA
OG0005421	JC_14500-RA	DPOGS216159-PA
OG0005422	JC_03717-RA	DPOGS209642-PA
OG0005424	JC_12402-RA	DPOGS211295-PA
OG0005425	JC_14498-RA	DPOGS216177-PA
OG0005426	JC_06116-RA	DPOGS204443-PA
OG0005427	JC_04515-RA	DPOGS210078-PA
OG0005428	JC_05631-RA	DPOGS203128-PA
OG0005429	JC_10204-RA	DPOGS208409-PA
OG0005430	JC_03720-RA	DPOGS209644-PA
OG0005431	JC_03721-RA	DPOGS209572-PA
OG0005432	JC_10590-RA	DPOGS204690-PA
OG0005433	JC_11386-RA	DPOGS205469-PA
OG0005434	JC_10592-RA	DPOGS204691-PA
OG0005435	JC_10203-RA	DPOGS208408-PA
OG0005436	JC_02293-RA	DPOGS207160-PA
OG0005437	JC_14493-RA	DPOGS216178-PA
OG0005438	JC_01522-RA	DPOGS215731-PA
OG0005439	JC_10202-RA	DPOGS208407-PA
OG0005440	JC_14866-RA	DPOGS215536-PA
OG0005441	JC_03724-RA	DPOGS209571-PA
OG0005442	JC_01519-RA	DPOGS215693-PA
OG0005443	JC_00831-RA	DPOGS210567-PA
OG0005444	JC_03725-RA	DPOGS209570-PA
OG0005445	JC_12952-RA	DPOGS215227-PA
OG0005446	JC_00828-RA	DPOGS215338-PA
OG0005447	JC_00829-RA	DPOGS215300-PA
OG0005448	JC_03727-RA	DPOGS209569-PA
OG0005449	JC_00827-RA	DPOGS215299-PA
OG0005450	JC_12951-RA	DPOGS215174-PA
OG0005451	JC_16035-RA	DPOGS200221-PA
OG0005452	JC_03729-RA	DPOGS209648-PA
OG0005453	JC_12399-RA	DPOGS211231-PA
OG0005454	JC_06149-RA	DPOGS210628-PA
OG0005455	JC_05626-RA	DPOGS203123-PA
OG0005456	JC_14907-RA	DPOGS206189-PA
OG0005457	JC_07990-RA	DPOGS210917-PA
OG0005458	JC_03731-RA	DPOGS209649-PA
OG0005459	JC_12395-RA	DPOGS211241-PA
OG0005460	JC_14487-RA	DPOGS210778-PA
OG0005461	JC_01518-RA	DPOGS215692-PA
OG0005462	JC_14485-RA	DPOGS201915-PA
OG0005463	JC_10598-RA	DPOGS204666-PA
OG0005465	JC_14483-RA	DPOGS201917-PA
OG0005466	JC_12392-RA	DPOGS204202-PA
OG0005467	JC_14480-RA	DPOGS210295-PA
OG0005468	JC_03587-RA	DPOGS201152-PA
OG0005469	JC_10194-RA	DPOGS214012-PA
OG0005470	JC_06154-RA	DPOGS210583-PA
OG0005471	JC_10193-RA	DPOGS214008-PA
OG0005472	JC_14479-RA	DPOGS210296-PA, DPOGS200761-PA
OG0005473	JC_09787-RA	DPOGS209452-PA
OG0005474	JC_09788-RA	DPOGS209453-PA
OG0005475	JC_05622-RA	DPOGS203115-PA
OG0005476	JC_10191-RA	DPOGS214007-PA
OG0005477	JC_14478-RA	DPOGS200757-PA
OG0005478	JC_12388-RA	DPOGS204200-PA
OG0005479	JC_05482-RA	DPOGS205300-PA
OG0005480	JC_14145-RA	DPOGS204635-PA
OG0005481	JC_10600-RA	DPOGS204664-PA
OG0005482	JC_14475-RA	DPOGS215517-PA
OG0005483	JC_12386-RA	DPOGS204160-PA
OG0005484	JC_17025-RA	DPOGS203876-PA
OG0005485	JC_05481-RA	DPOGS205269-PA
OG0005486	JC_12382-RA	DPOGS204161-PA
OG0005487	JC_00813-RA	DPOGS215348-PA
OG0005488	JC_10604-RA	DPOGS204661-PA
OG0005489	JC_07993-RA	DPOGS210911-PA
OG0005490	JC_10186-RA	DPOGS214005-PA
OG0005491	JC_14148-RA	DPOGS204628-PA
OG0005493	JC_00811-RA	DPOGS215349-PA
OG0005494	JC_00810-RA	DPOGS215292-PA
OG0005495	JC_16040-RA	DPOGS210188-PA
OG0005496	JC_14151-RA	DPOGS204639-PA
OG0005497	JC_01887-RA	DPOGS206132-PA
OG0005498	JC_06169-RA	DPOGS210577-PA
OG0005499	JC_09798-RA	DPOGS209448-PA
OG0005500	JC_12378-RA	DPOGS214629-PA
OG0005501	JC_10610-RA	DPOGS204695-PA
OG0005502	JC_12376-RA	DPOGS214630-PA
OG0005503	JC_06170-RA	DPOGS210633-PA
OG0005504	JC_09800-RA	DPOGS209447-PA
OG0005505	JC_07425-RA	DPOGS206337-PA
OG0005506	JC_10613-RA	DPOGS204696-PA
OG0005507	JC_07426-RA	DPOGS206327-PA
OG0005508	JC_16293-RA	DPOGS200463-PA
OG0005509	JC_10614-RA	DPOGS204659-PA
OG0005510	JC_12942-RA	DPOGS215222-PA
OG0005511	JC_16294-RA	DPOGS200460-PA
OG0005512	JC_06173-RA	DPOGS210636-PA
OG0005513	JC_12940-RA	DPOGS215178-PA
OG0005514	JC_08732-RA	DPOGS209804-PA
OG0005515	JC_12936-RA	DPOGS215179-PA
OG0005516	JC_03580-RA	DPOGS212551-PA
OG0005517	JC_10619-RA	DPOGS204698-PA
OG0005518	JC_09810-RA	DPOGS209467-PA
OG0005519	JC_08734-RA	DPOGS209805-PA
OG0005520	JC_02235-RA	DPOGS206788-PA
OG0005521	JC_01510-RA	DPOGS215737-PA
OG0005522	JC_12935-RA	DPOGS215180-PA
OG0005523	JC_03738-RA	DPOGS212083-PA
OG0005524	JC_06176-RA	DPOGS204140-PA
OG0005525	JC_01508-RA	DPOGS215685-PA
OG0005526	JC_16306-RA	DPOGS200461-PA
OG0005527	JC_02234-RA	DPOGS207185-PA
OG0005528	JC_10620-RA	DPOGS204699-PA
OG0005529	JC_16593-RA	DPOGS212308-PA
OG0005530	JC_12527-RA	DPOGS202270-PA
OG0005531	JC_12525-RA	DPOGS202317-PA
OG0005532	JC_06177-RA	DPOGS204139-PA
OG0005533	JC_12523-RA	DPOGS202316-PA
OG0005534	JC_12522-RA	DPOGS202272-PA
OG0005535	JC_06186-RA	DPOGS204138-PA
OG0005536	JC_10621-RA	DPOGS204701-PA
OG0005537	JC_13053-RA	DPOGS208171-PA
OG0005538	JC_06185-RA	DPOGS204137-PA
OG0005539	JC_14424-RA	DPOGS203517-PA
OG0005540	JC_06184-RA	DPOGS204102-PA
OG0005541	JC_11376-RA	DPOGS208526-PA
OG0005542	JC_06182-RA	DPOGS204104-PA
OG0005543	JC_16407-RA	DPOGS204089-PA
OG0005544	JC_03745-RA	DPOGS212179-PA
OG0005545	JC_12518-RA	DPOGS202274-PA
OG0005546	JC_12517-RA	DPOGS202313-PA
OG0005547	JC_10627-RA	DPOGS204704-PA
OG0005548	JC_14035-RA	DPOGS213792-PA
OG0005549	JC_06188-RA	DPOGS204107-PA
OG0005550	JC_06189-RA	DPOGS204133-PA
OG0005551	JC_10178-RA	DPOGS202938-PA
OG0005552	JC_12925-RA	DPOGS215190-PA, DPOGS215192-PA
OG0005553	JC_01505-RA	DPOGS215739-PA
OG0005554	JC_12509-RA	DPOGS202277-PA
OG0005555	JC_01504-RA	DPOGS215741-PA
OG0005556	JC_14421-RA	DPOGS203548-PA
OG0005557	JC_09696-RA	DPOGS212598-PA
OG0005558	JC_09695-RA	DPOGS212621-PA
OG0005559	JC_09694-RA	DPOGS212599-PA
OG0005560	JC_12506-RA	DPOGS202310-PA
OG0005561	JC_08739-RA	DPOGS209814-PA
OG0005562	JC_12917-RA	DPOGS215193-PA
OG0005563	JC_06193-RA	DPOGS204110-PA
OG0005564	JC_12916-RA	DPOGS215215-PA
OG0005565	JC_01501-RA	DPOGS215681-PA
OG0005566	JC_12505-RA	DPOGS202280-PA
OG0005567	JC_12504-RA	DPOGS202307-PA
OG0005568	JC_00705-RA	DPOGS208808-PA
OG0005569	JC_12499-RA	DPOGS202281-PA
OG0005570	JC_06198-RA, JC_06199-RA	DPOGS204112-PA
OG0005571	JC_03574-RA	DPOGS210838-PA
OG0005572	JC_16682-RA	DPOGS200157-PA
OG0005573	JC_12496-RA	DPOGS202305-PA
OG0005574	JC_12495-RA	DPOGS202283-PA
OG0005575	JC_16392-RA	DPOGS203184-PA
OG0005576	JC_06202-RA	DPOGS204129-PA
OG0005577	JC_06203-RA	DPOGS204114-PA
OG0005578	JC_14839-RA	DPOGS206775-PA
OG0005579	JC_09685-RA	DPOGS212602-PA
OG0005580	JC_11373-RA	DPOGS208508-PA
OG0005581	JC_16094-RA	DPOGS206757-PA
OG0005582	JC_12491-RA	DPOGS202284-PA
OG0005583	JC_16391-RA	DPOGS203183-PA
OG0005584	JC_12904-RA	DPOGS215195-PA
OG0005586	JC_17037-RA	DPOGS204618-PA
OG0005587	JC_12490-RA	DPOGS202303-PA
OG0005588	JC_12902-RA	DPOGS215196-PA
OG0005589	JC_06206-RA	DPOGS204117-PA
OG0005590	JC_08743-RA	DPOGS200118-PA
OG0005591	JC_12489-RA	DPOGS202302-PA
OG0005592	JC_08008-RA	DPOGS201304-PA
OG0005593	JC_08007-RA	DPOGS201310-PA
OG0005594	JC_12901-RA	DPOGS215197-PA
