Orthogroup	Vanessa_cardui	Junonia_coenia
OG0000026	Vcard_DToL15676-RA, Vcard_DToL12606-RA, Vcard_DToL07186-RA, Vcard_DToL16358-RA, Vcard_DToL12673-RA, Vcard_DToL04105-RA, Vcard_DToL15364-RA, Vcard_DToL18640-RA, Vcard_DToL05332-RA, Vcard_DToL04792-RA, Vcard_DToL08128-RA, Vcard_DToL06686-RA, Vcard_DToL15084-RA, Vcard_DToL02966-RA, Vcard_DToL07589-RA, Vcard_DToL15845-RA, Vcard_DToL12864-RA, Vcard_DToL08956-RA, Vcard_DToL13123-RA, Vcard_DToL12475-RA, Vcard_DToL06179-RA, Vcard_DToL15950-RA, Vcard_DToL05426-RA, Vcard_DToL08399-RA, Vcard_DToL17911-RA, Vcard_DToL06368-RA	JC_03792-RA, JC_13858-RA, JC_14208-RA, JC_08648-RA, JC_09944-RA, JC_15831-RA, JC_15098-RA, JC_06848-RA, JC_15036-RA
OG0000028	Vcard_DToL13059-RA, Vcard_DToL13042-RA, Vcard_DToL13043-RA	JC_16613-RA
OG0000028	Vcard_DToL18861-RA	JC_16551-RA, JC_16553-RA, JC_16552-RA, JC_16554-RA, JC_16555-RA
OG0000029	Vcard_DToL03093-RA	JC_05549-RA
OG0000029	Vcard_DToL02471-RA	JC_00248-RA, JC_00251-RA
OG0000029	Vcard_DToL02470-RA	JC_00252-RA, JC_00249-RA, JC_12809-RA
OG0000030	Vcard_DToL03994-RA	JC_13311-RA, JC_12569-RA, JC_15084-RA, JC_14861-RA
OG0000031	Vcard_DToL09360-RA	JC_07638-RA
OG0000031	Vcard_DToL09361-RA	JC_02492-RA, JC_12510-RA
OG0000034	Vcard_DToL03973-RA	JC_02760-RA
OG0000034	Vcard_DToL03370-RA	JC_02354-RA
OG0000034	Vcard_DToL03379-RA	JC_02348-RA, JC_02347-RA
OG0000037	Vcard_DToL07760-RA	JC_15113-RA
OG0000038	Vcard_DToL16692-RA	JC_14166-RA, JC_14541-RA, JC_14553-RA, JC_14548-RA, JC_14549-RA, JC_14551-RA, JC_14552-RA, JC_14545-RA, JC_14555-RA, JC_14547-RA, JC_14566-RA, JC_14167-RA, JC_16829-RA
OG0000038	Vcard_DToL16690-RA	JC_14539-RA
OG0000039	Vcard_DToL07684-RA, Vcard_DToL09549-RA, Vcard_DToL07682-RA	JC_12161-RA, JC_12165-RA
OG0000039	Vcard_DToL07681-RA, Vcard_DToL07680-RA	JC_12152-RA, JC_12153-RA, JC_11811-RA, JC_11810-RA, JC_16602-RA, JC_16604-RA, JC_16600-RA
OG0000041	Vcard_DToL13154-RA	JC_09842-RA
OG0000045	Vcard_DToL10351-RA	JC_06642-RA
OG0000045	Vcard_DToL18745-RA	JC_16748-RA
OG0000045	Vcard_DToL07613-RA	JC_09127-RA
OG0000045	Vcard_DToL04855-RA	JC_15568-RA
OG0000045	Vcard_DToL16819-RA	JC_15572-RA
OG0000046	Vcard_DToL03287-RA	JC_05584-RA
OG0000049	Vcard_DToL06446-RA	JC_09715-RA, JC_09711-RA, JC_09713-RA, JC_09712-RA, JC_11551-RA, JC_09714-RA, JC_11552-RA
OG0000049	Vcard_DToL06452-RA	JC_09676-RA
OG0000049	Vcard_DToL06451-RA	JC_09672-RA, JC_09677-RA, JC_09710-RA, JC_09669-RA, JC_09668-RA, JC_09718-RA, JC_09673-RA, JC_09671-RA
OG0000050	Vcard_DToL13078-RA	JC_10512-RA
OG0000050	Vcard_DToL13075-RA, Vcard_DToL13076-RA	JC_10511-RA, JC_10506-RA, JC_10513-RA, JC_10510-RA, JC_10509-RA, JC_10508-RA, JC_10507-RA
OG0000052	Vcard_DToL12448-RA	JC_01097-RA
OG0000052	Vcard_DToL12449-RA	JC_06731-RA, JC_06738-RA, JC_06735-RA, JC_06726-RA, JC_06740-RA, JC_06728-RA, JC_06746-RA, JC_06748-RA, JC_06729-RA, JC_06739-RA, JC_06727-RA, JC_06750-RA
OG0000053	Vcard_DToL01328-RA	JC_00967-RA
OG0000053	Vcard_DToL01334-RA	JC_00970-RA
OG0000053	Vcard_DToL01331-RA	JC_00969-RA
