Orthogroup	Heliconius_melpomene_melpomene	Heliconius_erato_lativitta
OG0000030	HMEL034229g1.t1, HMEL036448g1.t1, HMEL032725g1.t1, HMEL037768g1.t1, HMEL036584g1.t1, HMEL032978g1.t1, HMEL035819g1.t1, HMEL011301g1.t1, HMEL036282g1.t1, HMEL033409g1.t1, HMEL032399g1.t1, HMEL030652g1.t1, HMEL034963g1.t1, HMEL036135g1.t1, HMEL033602g1.t1, HMEL031315g1.t1, HMEL035128g1.t1, HMEL034341g1.t1, HMEL013000g1.t1, HMEL032293g1.t1, HMEL033328g1.t1, HMEL037786g1.t1, HMEL036565g1.t1, HMEL034643g1.t1, HMEL031720g1.t1, HMEL033100g1.t1, HMEL033661g1.t1, HMEL031422g1.t1, HMEL034550g1.t1, HMEL033090g1.t1, HMEL035370g1.t1, HMEL032165g1.t1, HMEL030385g1.t1, HMEL030029g1.t1, HMEL032042g1.t1, HMEL013454g1.t1, HMEL035824g1.t1, HMEL034817g1.t1, HMEL036433g1.t1, HMEL034040g1.t1, HMEL032650g1.t1, HMEL035477g1.t1, HMEL034124g1.t1, HMEL034937g1.t1, HMEL032383g1.t1, HMEL011159g1.t1, HMEL034240g1.t1, HMEL030169g1.t1, HMEL002816g1.t1, HMEL036322g1.t1, HMEL002262g1.t1, HMEL036920g1.t1, HMEL037281g1.t1, HMEL036325g1.t1, HMEL008163g1.t1, HMEL033515g1.t1, HMEL031684g1.t1, HMEL031803g1.t1, HMEL031748g1.t1, HMEL021952g1.t1, HMEL034066g1.t1	HEL_009939-RA
OG0000032	HMEL015875g1.t1	HEL_003341-RA
OG0000034	HMEL033976g1.t1	HEL_003967-RA
OG0000034	HMEL033982g1.t1	HEL_003973-RA
OG0000034	HMEL033974g1.t1	HEL_003968-RA
OG0000036	HMEL034344g1.t1	HEL_008947-RA, HEL_010219-RA
OG0000038	HMEL014479g1.t1	HEL_003339-RA
OG0000038	HMEL031441g1.t1	HEL_003344-RA, HEL_003333-RA
OG0000038	HMEL014488g1.t1	HEL_003348-RA, HEL_003349-RA
OG0000038	HMEL014489g1.t1	HEL_003335-RA, HEL_003346-RA
OG0000038	HMEL014473g1.t1	HEL_003336-RA
OG0000038	HMEL014472g1.t1	HEL_003334-RA
OG0000038	HMEL014474g1.t1	HEL_003337-RA
OG0000038	HMEL021371g1.t1, HMEL014483g1.t1, HMEL031443g1.t1	HEL_003343-RA
OG0000039	HMEL003566-RA	HEL_014203-RA
OG0000039	HMEL026010g1.t1	HEL_002018-RA, HEL_002013-RA, HEL_002015-RA
OG0000039	HMEL026012g1.t1, HMEL026009g1.t1	HEL_002017-RA
OG0000039	HMEL018121g1.t1, HMEL010595-RA	HEL_014550-RA
OG0000039	HMEL017153-RA	HEL_006830-RA
OG0000039	HMEL017154-RA	HEL_006829-RA
OG0000041	HMEL032630g1.t1	HEL_014103-RA
OG0000041	HMEL013650g1.t1	HEL_008450-RA
OG0000041	HMEL004253g1.t1	HEL_014421-RA
OG0000041	HMEL004252g1.t1	HEL_014422-RA
OG0000045	HMEL036019g1.t1	HEL_012373-RA
OG0000045	HMEL037144g1.t1	HEL_010335-RA
OG0000045	HMEL014163g1.t1	HEL_013537-RA, HEL_013538-RA
OG0000045	HMEL034418g1.t1	HEL_005377-RA
OG0000046	HMEL014795g1.t1	HEL_005344-RA, HEL_005346-RA, HEL_005347-RA, HEL_005345-RA
OG0000046	HMEL010111g1.t1	HEL_005348-RA
OG0000049	HMEL002471-RA	HEL_008049-RA
OG0000049	HMEL034903g1.t1	HEL_008038-RA
OG0000049	HMEL008772-RA	HEL_008034-RA
OG0000049	HMEL008770-RA	HEL_008036-RA
OG0000049	HMEL003583-RA	HEL_008037-RA
OG0000050	HMEL017073-RA	HEL_012554-RA
OG0000050	HMEL017067-RA, HMEL017068-RA, HMEL022575-RA	HEL_012564-RA
OG0000050	HMEL036604g1.t1	HEL_012561-RA
OG0000050	HMEL017071-RA	HEL_012555-RA
OG0000050	HMEL017069-RA	HEL_012557-RA
OG0000050	HMEL017066-RA, HMEL022564-RA	HEL_012556-RA
OG0000052	HMEL013845g1.t1	HEL_000724-RA
OG0000053	HMEL009070g1.t1	HEL_006720-RA
OG0000053	HMEL009072g1.t1	HEL_006724-RA
OG0000053	HMEL009071g1.t1	HEL_006722-RA
OG0000053	HMEL009073g1.t1	HEL_006725-RA
OG0000054	HMEL018015g1.t1	HEL_003473-RA
OG0000054	HMEL018012g1.t1	HEL_003465-RA
OG0000054	HMEL031501g1.t1, HMEL031502g1.t1, HMEL031503g1.t1, HMEL031500g1.t1, HMEL005562g1.t1	HEL_010206-RA
OG0000054	HMEL031506g1.t1, HMEL031507g1.t1	HEL_003471-RA
OG0000054	HMEL031505g1.t1	HEL_003470-RA
OG0000055	HMEL032595g1.t1, HMEL034059g1.t1, HMEL035492g1.t1	HEL_011387-RA
OG0000055	HMEL030552g1.t1	HEL_004125-RA
OG0000055	HMEL014284g1.t1	HEL_004126-RA
OG0000055	HMEL033237g1.t1	HEL_007822-RA
OG0000056	HMEL010939-RA	HEL_013494-RA
OG0000057	HMEL003534g1.t1	HEL_008127-RA
OG0000057	HMEL032313g1.t1	HEL_008126-RA
OG0000057	HMEL032312g1.t1	HEL_008125-RA
OG0000057	HMEL006997g1.t1	HEL_007566-RA
OG0000060	HMEL036362g1.t1	HEL_007291-RA
OG0000060	HMEL036359g1.t1	HEL_007289-RA
OG0000060	HMEL036361g1.t1	HEL_007288-RA, HEL_007290-RA
OG0000060	HMEL008037g1.t1, HMEL012126g1.t1, HMEL020404g1.t1, HMEL036360g1.t1	HEL_007285-RA
OG0000061	HMEL013738-RA	HEL_014348-RA
