Orthogroup	Heliconius_erato_lativitta	Bicyclus_anynana
OG0000116	HEL_000181-RA	Bany_10490-RA
OG0000116	HEL_010451-RA	Bany_07549-RA
OG0000116	HEL_004697-RA	Bany_12390-RA
OG0000117	HEL_013392-RA	Bany_01550-RA
OG0000117	HEL_013393-RA	Bany_01549-RA, Bany_01548-RA
OG0000119	HEL_005350-RA	Bany_15452-RA
OG0000120	HEL_011755-RA, HEL_005859-RA, HEL_001395-RA, HEL_005666-RA, HEL_012011-RA, HEL_009305-RA, HEL_013465-RA, HEL_008431-RA, HEL_011691-RA, HEL_013996-RA, HEL_010140-RA, HEL_011756-RA, HEL_004768-RA, HEL_004799-RA, HEL_008462-RA, HEL_014613-RA, HEL_004767-RA, HEL_001396-RA, HEL_011754-RA	Bany_09173-RA
OG0000124	HEL_012796-RA	Bany_11544-RA, Bany_11546-RA
OG0000124	HEL_012799-RA	Bany_11548-RA
OG0000124	HEL_000153-RA	Bany_10467-RA, Bany_10468-RA
OG0000125	HEL_008471-RA	Bany_02581-RA, Bany_02575-RA, Bany_02580-RA, Bany_02579-RA, Bany_02576-RA, Bany_02578-RA
OG0000125	HEL_008470-RA	Bany_02582-RA
OG0000127	HEL_013706-RA	Bany_13810-RA
OG0000128	HEL_014291-RA	Bany_11636-RA
OG0000128	HEL_014057-RA	Bany_11151-RA
OG0000128	HEL_014054-RA	Bany_11631-RA
OG0000129	HEL_003330-RA	Bany_01924-RA
OG0000129	HEL_003340-RA	Bany_03707-RA, Bany_03706-RA
OG0000131	HEL_004142-RA	Bany_12626-RA
OG0000132	HEL_013799-RA, HEL_013798-RA	Bany_15311-RA, Bany_08048-RA
OG0000133	HEL_004130-RA	Bany_12678-RA
OG0000133	HEL_004133-RA	Bany_12676-RA
OG0000134	HEL_006876-RA	Bany_02357-RA
OG0000134	HEL_006825-RA	Bany_02392-RA
OG0000134	HEL_006873-RA, HEL_006826-RA	Bany_02358-RA
OG0000136	HEL_004124-RA	Bany_08639-RA, Bany_08641-RA
OG0000137	HEL_001689-RA, HEL_001690-RA	Bany_15166-RA, Bany_00005-RA
OG0000138	HEL_002292-RA	Bany_03566-RA
OG0000138	HEL_007640-RA	Bany_09914-RA
OG0000139	HEL_003606-RA	Bany_09402-RA
OG0000139	HEL_003605-RA	Bany_09403-RA
OG0000139	HEL_003603-RA	Bany_09408-RA
OG0000139	HEL_003604-RA	Bany_09407-RA
OG0000141	HEL_010839-RA, HEL_010838-RA	Bany_15619-RA, Bany_15620-RA, Bany_15618-RA
OG0000142	HEL_010081-RA	Bany_01109-RA
OG0000143	HEL_009892-RA, HEL_009894-RA, HEL_009926-RA, HEL_009927-RA, HEL_009925-RA	Bany_01334-RA
OG0000143	HEL_009924-RA	Bany_01332-RA, Bany_01256-RA
OG0000144	HEL_011567-RA	Bany_15144-RA, Bany_15142-RA, Bany_15143-RA, Bany_15146-RA
OG0000144	HEL_011566-RA, HEL_011571-RA, HEL_011570-RA	Bany_15147-RA, Bany_04176-RA, Bany_15145-RA
OG0000144	HEL_011569-RA, HEL_011568-RA	Bany_15148-RA
OG0000145	HEL_013443-RA, HEL_013444-RA, HEL_013445-RA, HEL_013441-RA, HEL_013440-RA, HEL_013439-RA, HEL_013442-RA	Bany_08426-RA, Bany_08427-RA, Bany_08424-RA, Bany_08425-RA
OG0000147	HEL_007352-RA, HEL_007351-RA, HEL_007357-RA, HEL_007356-RA, HEL_007354-RA	Bany_12229-RA, Bany_14941-RA, Bany_12228-RA
OG0000149	HEL_004261-RA, HEL_004262-RA	Bany_10899-RA
OG0000149	HEL_006023-RA	Bany_11924-RA
OG0000149	HEL_010670-RA	Bany_12305-RA
OG0000152	HEL_002884-RA	Bany_04679-RA
OG0000152	HEL_002887-RA	Bany_04673-RA
OG0000152	HEL_002885-RA	Bany_04678-RA
OG0000153	HEL_012802-RA, HEL_012804-RA, HEL_012803-RA	Bany_08621-RA, Bany_08623-RA, Bany_08299-RA
OG0000154	HEL_004721-RA, HEL_004718-RA, HEL_004720-RA, HEL_004722-RA	Bany_17666-RA, Bany_17667-RA
OG0000155	HEL_012316-RA	Bany_17351-RA, Bany_17350-RA
OG0000156	HEL_013567-RA, HEL_013569-RA	Bany_14780-RA, Bany_14779-RA
OG0000160	HEL_012101-RA	Bany_02510-RA, Bany_02935-RA, Bany_09324-RA
OG0000162	HEL_008231-RA	Bany_11202-RA, Bany_11201-RA
OG0000162	HEL_008230-RA	Bany_11203-RA
OG0000163	HEL_006383-RA, HEL_006384-RA, HEL_014323-RA, HEL_014324-RA	Bany_11267-RA
OG0000164	HEL_013352-RA	Bany_17803-RA, Bany_01418-RA
OG0000165	HEL_014037-RA	Bany_05347-RA
OG0000165	HEL_014028-RA	Bany_05323-RA
OG0000166	HEL_009754-RA	Bany_15015-RA
OG0000166	HEL_007219-RA, HEL_007218-RA	Bany_15344-RA
OG0000167	HEL_011445-RA	Bany_12222-RA, Bany_08543-RA, Bany_15130-RA
OG0000167	HEL_000604-RA	Bany_06853-RA
OG0000168	HEL_010944-RA, HEL_010943-RA	Bany_10238-RA, Bany_10241-RA
OG0000169	HEL_012759-RA	Bany_11620-RA
OG0000169	HEL_014571-RA	Bany_11622-RA
OG0000169	HEL_012764-RA	Bany_11612-RA
OG0000170	HEL_012926-RA	Bany_15232-RA
OG0000170	HEL_012927-RA	Bany_15234-RA, Bany_15233-RA
OG0000171	HEL_006254-RA, HEL_006253-RA	Bany_06399-RA
OG0000171	HEL_006249-RA, HEL_006252-RA, HEL_006250-RA	Bany_06400-RA, Bany_06401-RA
OG0000172	HEL_008361-RA, HEL_008362-RA	Bany_01720-RA
OG0000174	HEL_002710-RA	Bany_18126-RA
OG0000174	HEL_007174-RA	Bany_07483-RA
OG0000175	HEL_005422-RA	Bany_17401-RA
OG0000175	HEL_009048-RA	Bany_02772-RA
OG0000175	HEL_003484-RA	Bany_07033-RA
OG0000178	HEL_005387-RA	Bany_17427-RA, Bany_17428-RA
OG0000178	HEL_004641-RA	Bany_17535-RA
OG0000179	HEL_013875-RA	Bany_14923-RA
OG0000180	HEL_007079-RA, HEL_007078-RA	Bany_09947-RA, Bany_07642-RA
OG0000181	HEL_008902-RA	Bany_13084-RA, Bany_13086-RA, Bany_13082-RA
OG0000182	HEL_012893-RA	Bany_11088-RA, Bany_11086-RA
