Orthogroup	Heliconius_erato_lativitta	Vanessa_cardui
OG0000175	HEL_005422-RA	Vcard_DToL16841-RA
OG0000175	HEL_009048-RA	Vcard_DToL08937-RA
OG0000175	HEL_003484-RA	Vcard_DToL09691-RA
OG0000178	HEL_005387-RA	Vcard_DToL16798-RA
OG0000178	HEL_004641-RA	Vcard_DToL16964-RA
OG0000179	HEL_013875-RA	Vcard_DToL10007-RA
OG0000180	HEL_007077-RA	Vcard_DToL00698-RA, Vcard_DToL00695-RA, Vcard_DToL00696-RA, Vcard_DToL00697-RA
OG0000180	HEL_007079-RA, HEL_007078-RA	Vcard_DToL00694-RA
OG0000181	HEL_008902-RA	Vcard_DToL11362-RA, Vcard_DToL11365-RA
OG0000182	HEL_012893-RA	Vcard_DToL04801-RA
OG0000183	HEL_012769-RA	Vcard_DToL13208-RA
OG0000183	HEL_006620-RA	Vcard_DToL06780-RA, Vcard_DToL01715-RA
OG0000184	HEL_007564-RA	Vcard_DToL04778-RA
OG0000184	HEL_004299-RA	Vcard_DToL10518-RA
OG0000184	HEL_004298-RA	Vcard_DToL10517-RA
OG0000185	HEL_011155-RA	Vcard_DToL11157-RA
OG0000185	HEL_011156-RA	Vcard_DToL11158-RA
OG0000185	HEL_011157-RA	Vcard_DToL11159-RA
OG0000186	HEL_006287-RA, HEL_013685-RA	Vcard_DToL18093-RA
OG0000187	HEL_010066-RA	Vcard_DToL18267-RA
OG0000188	HEL_009328-RA	Vcard_DToL16002-RA, Vcard_DToL16003-RA, Vcard_DToL16004-RA
OG0000190	HEL_014277-RA, HEL_014275-RA, HEL_014271-RA, HEL_014272-RA, HEL_014273-RA, HEL_014276-RA, HEL_014274-RA	Vcard_DToL10323-RA
OG0000191	HEL_007069-RA, HEL_007065-RA, HEL_007070-RA	Vcard_DToL00710-RA, Vcard_DToL00708-RA
OG0000193	HEL_011020-RA, HEL_011022-RA	Vcard_DToL10620-RA
OG0000193	HEL_011021-RA	Vcard_DToL10410-RA
OG0000193	HEL_004214-RA	Vcard_DToL10411-RA
OG0000196	HEL_002689-RA	Vcard_DToL01176-RA, Vcard_DToL01174-RA
OG0000197	HEL_002519-RA	Vcard_DToL00934-RA
OG0000197	HEL_001340-RA	Vcard_DToL02361-RA
OG0000198	HEL_009068-RA	Vcard_DToL08912-RA
OG0000200	HEL_007531-RA, HEL_007530-RA	Vcard_DToL04306-RA
OG0000200	HEL_007527-RA	Vcard_DToL04305-RA
OG0000201	HEL_001000-RA, HEL_001001-RA	Vcard_DToL12096-RA, Vcard_DToL12097-RA
OG0000202	HEL_000098-RA	Vcard_DToL05319-RA, Vcard_DToL05320-RA
OG0000203	HEL_009435-RA, HEL_009431-RA, HEL_009433-RA, HEL_012200-RA, HEL_009430-RA, HEL_006323-RA	Vcard_DToL04165-RA
OG0000205	HEL_005648-RA	Vcard_DToL03235-RA
OG0000206	HEL_013033-RA, HEL_013039-RA, HEL_013044-RA, HEL_013043-RA, HEL_013031-RA, HEL_013032-RA, HEL_013035-RA, HEL_013034-RA, HEL_013038-RA, HEL_013042-RA	Vcard_DToL18698-RA
OG0000209	HEL_000443-RA	Vcard_DToL14070-RA
OG0000209	HEL_001019-RA, HEL_001018-RA, HEL_001021-RA, HEL_001017-RA, HEL_001022-RA	Vcard_DToL12081-RA
OG0000209	HEL_001020-RA	Vcard_DToL14068-RA
OG0000210	HEL_007935-RA	Vcard_DToL06537-RA
OG0000210	HEL_007938-RA	Vcard_DToL06540-RA
OG0000212	HEL_010933-RA	Vcard_DToL05123-RA
OG0000212	HEL_010932-RA, HEL_010931-RA	Vcard_DToL05122-RA
OG0000213	HEL_001448-RA	Vcard_DToL02226-RA
OG0000213	HEL_001453-RA	Vcard_DToL02222-RA
OG0000214	HEL_009701-RA, HEL_006344-RA, HEL_006341-RA, HEL_006346-RA, HEL_006345-RA, HEL_006348-RA, HEL_006349-RA, HEL_006350-RA, HEL_006351-RA, HEL_006342-RA, HEL_006366-RA	Vcard_DToL06709-RA
OG0000215	HEL_008533-RA	Vcard_DToL15777-RA
OG0000215	HEL_004541-RA	Vcard_DToL03753-RA
OG0000215	HEL_011523-RA	Vcard_DToL15776-RA
